vandomraade,ObservationsstedID,kildestationsnavn,proevetager,proeveID,hardbund_daekpct,totcover_daekpct,dybde,cumcov,opportunist,n_perenial,prop_opportunist
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,4953.0,20.0,100.0,0.95,139.0,17.0,7,0.1223021582733813
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,5132.0,30.0,100.0,0.55,147.0,22.0,7,0.14965986394557823
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,7789.0,30.0,100.0,0.75,154.0,27.0,8,0.17532467532467533
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,7968.0,50.0,60.0,0.45,114.0,32.0,4,0.2807017543859649
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,10508.0,50.0,60.0,0.55,104.0,32.0,5,0.3076923076923077
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,10686.0,60.0,7.0,0.15,82.0,32.0,1,0.3902439024390244
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,12777.0,15.0,100.0,3.75,139.0,35.0,8,0.2517985611510791
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,12942.0,20.0,100.0,1.16,150.0,45.0,6,0.3
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,14834.0,20.0,100.0,2.85,172.0,55.0,6,0.31976744186046513
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,14999.0,15.0,100.0,1.16,152.0,27.0,7,0.17763157894736842
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,16711.0,25.0,100.0,3.75,169.0,47.0,8,0.2781065088757396
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,16869.0,15.0,80.0,1.16,165.0,45.0,8,0.2727272727272727
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,18387.0,20.0,100.0,5.95,170.0,45.0,6,0.2647058823529412
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,18526.0,20.0,100.0,3.44,175.0,20.0,6,0.11428571428571428
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,19940.0,20.0,100.0,5.15,200.0,55.0,7,0.275
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,20078.0,25.0,100.0,3.34,140.0,15.0,6,0.10714285714285714
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,21069.0,20.0,100.0,4.55,209.0,77.0,10,0.3684210526315789
Als Fjord,10358.0,DMU0253#1942,Grethe Bruntse,21194.0,30.0,100.0,2.34,195.0,60.0,7,0.3076923076923077
Als Fjord,10388.0,DMU0310#2919,Grethe Bruntse,4532.0,30.0,80.0,0.8,99.0,12.0,5,0.12121212121212122
Als Fjord,10388.0,DMU0310#2919,Grethe Bruntse,7367.0,40.0,60.0,0.6,80.0,15.0,3,0.1875
Als Fjord,10388.0,DMU0310#2919,Grethe Bruntse,10093.0,20.0,60.0,0.3,60.0,5.0,3,0.08333333333333333
Als Fjord,10388.0,DMU0310#2919,Grethe Bruntse,12390.0,30.0,100.0,1.39,157.0,37.0,6,0.2356687898089172
Als Fjord,10388.0,DMU0310#2919,Grethe Bruntse,14459.0,20.0,100.0,1.79,147.0,49.0,9,0.3333333333333333
Als Fjord,10388.0,DMU0310#2919,Grethe Bruntse,16346.0,20.0,100.0,1.49,160.0,75.0,4,0.46875
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,4692.0,50.0,45.0,0.6,65.0,14.0,3,0.2153846153846154
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,7528.0,35.0,85.0,0.5,106.0,26.0,3,0.24528301886792453
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,10251.0,45.0,100.0,0.8,116.0,15.0,5,0.12931034482758622
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,12539.0,35.0,100.0,1.3,126.0,29.0,5,0.23015873015873015
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,14602.0,35.0,100.0,1.5,145.0,34.0,8,0.23448275862068965
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,16485.0,25.0,100.0,1.9,143.0,2.0,4,0.013986013986013986
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,18185.0,20.0,100.0,1.9,170.0,34.0,6,0.2
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,19740.0,40.0,100.0,2.4,158.0,45.0,6,0.2848101265822785
Als Fjord,10388.0,DMU0310#2919,Lars Nejrup,20885.0,20.0,100.0,3.0,130.0,47.0,5,0.36153846153846153
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,4982.0,80.0,50.0,0.72,92.0,32.0,6,0.34782608695652173
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,5045.0,30.0,30.0,0.65,124.0,27.0,4,0.21774193548387097
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,7817.0,90.0,60.0,0.62,80.0,15.0,4,0.1875
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,7881.0,70.0,50.0,0.35,120.0,30.0,3,0.25
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,10537.0,90.0,70.0,0.32,83.0,12.0,3,0.14457831325301204
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,10601.0,80.0,20.0,0.15,125.0,25.0,2,0.2
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,12805.0,30.0,100.0,1.64,158.0,66.0,8,0.4177215189873418
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,12864.0,60.0,100.0,1.65,160.0,35.0,6,0.21875
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,14862.0,30.0,100.0,1.44,136.0,44.0,8,0.3235294117647059
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,14921.0,70.0,70.0,1.35,168.0,38.0,7,0.2261904761904762
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,16738.0,70.0,100.0,1.24,159.0,44.0,8,0.27672955974842767
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,16793.0,70.0,50.0,1.15,115.0,30.0,6,0.2608695652173913
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,18410.0,60.0,100.0,3.62,115.0,45.0,6,0.391304347826087
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,18458.0,20.0,100.0,3.45,219.0,72.0,10,0.3287671232876712
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,19962.0,80.0,100.0,2.92,137.0,47.0,8,0.34306569343065696
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,20009.0,40.0,100.0,2.95,199.0,72.0,10,0.36180904522613067
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,21088.0,90.0,100.0,2.42,182.0,68.0,10,0.37362637362637363
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,21130.0,30.0,100.0,2.45,196.0,68.0,10,0.3469387755102041
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,21937.0,20.0,100.0,5.62,147.0,55.0,5,0.3741496598639456
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,21974.0,70.0,100.0,5.35,256.0,67.0,9,0.26171875
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,22723.0,15.0,100.0,4.52,158.0,40.0,7,0.25316455696202533
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,22760.0,80.0,100.0,4.85,234.0,74.0,9,0.3162393162393162
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,23443.0,20.0,100.0,4.62,150.0,50.0,5,0.3333333333333333
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,23477.0,60.0,100.0,4.35,254.0,57.0,12,0.22440944881889763
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,24030.0,15.0,90.0,6.42,127.0,45.0,5,0.3543307086614173
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,24051.0,15.0,100.0,7.65,210.0,60.0,5,0.2857142857142857
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,24561.0,15.0,100.0,6.12,152.0,42.0,5,0.27631578947368424
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,24581.0,40.0,100.0,6.85,235.0,100.0,6,0.425531914893617
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,25063.0,30.0,100.0,6.25,200.0,60.0,6,0.3
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,25408.0,15.0,100.0,9.25,96.0,25.0,5,0.2604166666666667
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,25712.0,40.0,100.0,8.85,180.0,40.0,5,0.2222222222222222
Als Fjord,10464.0,DMU0257#2607,Grethe Bruntse,25989.0,30.0,100.0,8.35,165.0,20.0,5,0.12121212121212122
